restaurant_name,menu_item_name,price,description
Pizza Ozy,Pizza cream dream,12.0,"'Roomsaus, look, ui & spek.'"
Pizza Ozy,Pizza bolognese de luxe,12.0,"'Bolognese saus, ui, lookgehakt & extra mozzarella.'"
Pizza Ozy,Pizza funghi,12.0,"'Pizzasaus, mozzarella, champignons.'"
Pizza Ozy,Pizza romana,12.0,"'Pizzasaus, mozzarella, artisjok & olijven.'"
Pizza Ozy,Pizza pollo,12.0,"'Pizzasaus, mozzarella, gegrilde kip, paprika & ui.'"
Pizza Ozy,Pizza americana,12.0,"'Pizzasaus, mozzarella, pikante salami & paprika.'"
Pizza Ozy,Pizza Planet,12.0,"'Pizzasaus, mozzarella, gegrilde kip, champignons, paprika & gehakt.'"
Pizza Ozy,Pizza bacon,12.0,"'Pizzasaus, mozzarella, ham, champignons, ui & spek.'"
Pizza Ozy,Pizza vegetarisch,12.0,"'Pizzasaus, mozzarella, champignons, artisjok, paprika, olijven & ui.'"
Pizza Ozy,Pizza Ozy veggie,12.0,"'Pizzasaus, mozzarella, champignons, ui, paprika, olijven & feta.'"
Pizza Ozy,Pizza green fiesta,12.0,"'Roomsaus, mozzarella, döner kebab & potje looksaus.'"
Pizza Ozy,Pizza pepperoni,12.0,"'Pizzasaus, mozzarella, dubbel pikante salami & pikante pepers.'"
Pizza Ozy,Hot pizza,12.0,"'Pizzasaus, mozzarella, pikante salami, pikante pepers, ui & gehakt.'"
Pizza Ozy,Pizza royale,12.0,"'Pizzasaus, mozzarella, salami, ui, champignons & pikante pepers.'"
Pizza Ozy,Pizza tabasco,12.0,"'Pizzasaus, mozzarella, pikante salami, ui, champignons, paprika & tabasco.'"
Pizza Ozy,Pizza Ozy merguez,12.0,"'Pizzasaus, mozzarella, ui, champignons, paprika & merguez.'"
Pizza Ozy,Pizza hamburger,12.0,"'Pizzasaus, mozzarella, hamburger, frieten & potje looksaus.'"
Pizza Ozy,Pizza frikandel,12.0,"'Pizzasaus, mozzarella, frikandel, frieten & potje looksaus.'"
Pizza Ozy,Pizza barbecue,12.0,"'Barbecuesaus, ham, salami, gegrilde kip, gehakt & potje looksaus.'"
