city,avg_price_per_sq_cm,pizza_count
Mechelen,0.010690175573912804,3
Deurne,0.011300942704749965,1
Hasselt,0.011300942704749965,1
Herentals,0.011360400480864154,4
Lier,0.011538733374162412,2
Mortsel,0.01193662073189215,2
Kessel-Lo,0.012575205380100374,1
Aarschot,0.012771692964164442,1
Sint-Katelijne-Waver,0.012842919713387666,2
Forest,0.013015337568403885,1
Londerzeel,0.013041863392252533,2
Tremelo,0.013184433155541625,1
Bouwel,0.013184433155541625,1
Kortrijk,0.013615208022314484,20
Haasdonk,0.014017783476508701,3
Genk,0.014064296451655503,210
Lennik,0.014147106052612919,1
Oostende,0.014527872994895987,4
Leopoldsburg,0.01454996373236558,2
Kinrooi,0.01463325644534782,65
Aartselaar,0.015244502391361926,2
Herent,0.015278874536821953,1
Ichtegem,0.015575963763926823,2
Bilzen,0.016275479943313638,66
Ronse,0.01631227948587293,1
Kessel,0.016578639905405763,1
Antwerpen,0.016741471324194637,41
Sleidinge,0.016948845273862735,2
Scherpenheuvel-Zichem,0.017316057808398212,1
Hannut,0.017399856055688633,106
Brasschaat,0.017759333266745104,71
Roeselare,0.01779440683180219,40
Aalst,0.017811206520239667,4
Vosselaar,0.01787738989436384,3
Koekelberg,0.017877563184343588,3
Lebbeke,0.018005407703325534,35
Temse,0.018091284926271704,188
Brugge,0.01813114962271532,37
Wavre,0.018280951288954385,93
Deinze,0.01846715688890873,2
Schoten,0.018778318439645482,58
Ekeren,0.019149077522853344,67
Alken,0.01949156833915558,1
Eernegem,0.01964480540175702,84
Hamme,0.02066365160866143,122
Zemst,0.021535692762764617,66
Waterloo,0.021669558718261102,5
Bruxelles,0.02321009586756807,1
Hamont-Achel,0.0238732414637843,1
Sint-Lievens-Houtem,0.03859034395902888,8
Kruibeke,0.04244131815783876,1
Zeebrugge,0.06091177982013018,1
