restaurant_name,menu_item_name,price,description
Pizza Posto,Pizza posto,10.0,"Kaas, scampi, rucola, Mozzarella, uien en look."
Pizza Posto,Pizza family,17.0,Tomatensaus en kaas 50cm .
Pizza Posto,Pizza Margherita,7.0,Tomatensaus en kaas.
Pizza Posto,Pizza salami,8.0,"Kaas, basilicum en salami."
Pizza Posto,Pizza spaghetti,8.0,"Kaas, spaghetti en gehakt."
Pizza Posto,Pizza vegetarisch,8.0,"Kaas, paprika, broccoli, champignons en artisjok."
Pizza Posto,Pizza kip HawaÃ¯,8.0,"Kaas, kip en ananas."
Pizza Posto,Pizza Bolognese,8.5,"Kaas, Bolognese, uien en basilicum."
Pizza Posto,Pizza 4 kazen,8.5,"Kaas, Gorgonzola, Feta Kaas en Parmezaanse kaas."
Pizza Posto,Pizza kip,8.5,"Kaas, kip, paprika, uien en verse tomaten."
Pizza Posto,Pizza BBQ chicken,8.5,"Kaas, BBQ saus, kip, paprika, champignons en uien."
Pizza Posto,Pizza funghi,7.5,"Kaas, champignons en basilicum."
Pizza Posto,Pizza Kebab,8.0,"Kaas, kebab vlees, uien en verse tomaten."
Cora - Woluwe,Sodebo pizza napoli 400 g,6.85,
Cora - Woluwe,SodeboÂ pizza prosciutto mozzarella et chiffonnade de jambon 400 g,6.85,
Cora - Woluwe,"Sodebo pizza Margherita avec copeaux de mozzarella, tomate marinÃ©e et pesto 400 g",6.85,
Cora - Woluwe,"Sodebp Dolce pizza Napoli avec mozzarella, poulet et poivrons grillÃ©s 400 g",6.85,
Ristorante Pane e Focaccia,Scampi alla pizzaiola,14.0,"Scampis avec sauce tomate, olives, ail et piments."
Ristorante Pane e Focaccia,Orata alla pizzaiola,23.0,"Filet de daurade en sauce tomate, oignons, piments et olives noires en poudre."
Urban pizza,Pizza BBQ Chicken,14.95,"Grilled chicken, onions, peppers and special BBQ sauce."
Urban pizza,Pizza Margherita ,10.95,Tomato sauce and Mozzarella.
Urban pizza,Pizza Margherita Deluxe ,11.95,"Tomato sauce, Mozzarella and sesame."
Urban pizza,Pizza Margherita Con Patatine Fritte Normaal,12.95,"Tomato sauce, Mozzarella and fries with garlic sauce."
Urban pizza,Pizza Funghi ,11.95,Mushrooms and Mozzarella.
Urban pizza,Pizza Cipolla ,10.95,Onions and Mozzarella.
Urban pizza,Pizza Pepperoni Classic ,11.95,Spicy salami and Mozzarella.
Urban pizza,Pizza Pepperoni Feast,12.95,"Spicy salami, mushrooms and jalapeÃ±os."
Urban pizza,Pizza Pepperoni Lux ,12.95,"Salami, paprika and fresh tomatoes."
Urban pizza,Pizza Capricciosa,12.95,Ham and mushrooms.
Urban pizza,Pizza Bazilio,12.95,"Anchovies, capers, onions and Gorgonzola."
Urban pizza,Pizza Tonno,12.95,Tuna and onions.
Urban pizza,Pizza Quattro Stagioni,12.95,"Ham, salami, paprika and mushrooms."
Urban pizza,Pizza Multi Cheese,12.95,"Gouda, Mozzarella, Gorgonzola cheese, Feta cheese and Cheddar cheese."
Urban pizza,Pizza Mozzarella Tomato ,11.95,Fresh tomatoes and Mozzarella.
Urban pizza,Pizza Fetomato,12.95,Fresh tomatoes and Feta cheese.
Urban pizza,Pizza Jambonara ,12.95,"Ham, fresh tomatoes and Feta cheese."
Urban pizza,Pizza Pugliese ,12.95,"Fresh tomatoes, Mozzarella, onions and capers."
Porto Fino,Pizza Margherita,7.0,"Tomaat, mozzarella."
Porto Fino,Pizza diavola,9.0,"Tomaat, mozzarella, chorizo, paprika, piment."
Porto Fino,Pizza charcuterie,11.5,"Tomaat, mozzarella, ham, salami, chorizo, spek."
Porto Fino,Pizza Toscana,8.0,"Tomaat, mozzarella, ham."
