primarySlug,longitude,latitude,postalCode
e1eb55cd-30ad-4244-9c7b-bee3a457bc37,3.7374146,51.05686,9000.0
53ea2e0f-420d-4224-b8b6-78f5d946d77f,4.42597,51.18856,2600.0
238b7c1b-65c7-42bb-a2f6-e79340bee112,4.42226,50.9286,1800.0
17a7d904-ab96-4bdc-9eac-24f67a8c6717,4.42563,51.19789,2600.0
4622a54b-9fd2-5a09-97c2-26c42acd6caa,4.43924,51.24087,2170.0
a4976be0-1171-44e1-97e4-9757741d8e99,3.72384,51.04765,9000.0
55227d29-e176-5f66-aec6-b0ef1b12072c,4.36037,50.90068,1020.0
5d5ac7cf-94b5-47eb-966f-33cdc3d48cd8,4.484147,51.026599,2800.0
9433b0d8-e15f-4069-8a79-f418852a9254,3.723848237142968,51.05040009893348,9000.0
11ef87b7-35ac-4044-8647-9991e7032a02,3.23567,51.21042,8000.0
1537ad99-917c-57ad-baac-f7df678ff2ea,4.94977,51.31533,2300.0
545f1c61-8ed5-5204-a43e-988259afa7fb,4.39444,51.21168,2000.0
b5a52425-687c-40ed-88ba-64d9c8d8d31b,4.4049514,51.221597,2000.0
cdcb8f23-88dd-5b7a-9c69-df04bf3344d2,4.03873,50.93737,9300.0
d6f695ee-319f-4c70-ba62-c55bc148341b,4.41063,51.23088,2000.0
8956c43c-b441-5252-ac39-236db7e395b1,5.50826,51.00148,3600.0
b6ded0f2-e55d-4f30-aad1-8cb1a1503de9,4.40188,51.22055,2000.0
067e6fc6-312e-475f-a466-8d64babec5de,4.39791,51.22124,2000.0
bf43a88c-1c2c-5840-8624-137caa73adc4,4.35851,50.89689,1020.0
53576f99-73ff-48f4-a48e-0f302e2a9923,4.3968363,50.859966,1030.0
a1797ba7-a437-45dd-b6f4-faf42203b759,3.7216213,51.0549251,9000.0
0113b7bb-cbbd-42ba-a304-5f9959bbe080,4.25199,51.21597,9120.0
040ee7bb-304e-45a0-8065-e200e1732e67,3.28266,51.35044,8300.0
c144ad95-49e7-4a31-a4b8-81653539f396,4.03522,50.92685,9300.0
7a0604d1-ab11-4c19-9016-d9a230c9391e,4.31345,50.87344,1083.0
89c7cf27-b519-4de2-8f5c-e6704201d442,3.712905,51.055145,9000.0
389aa41f-1113-4f76-acf3-fcc86e9d72c7,4.0391104,50.9411841,9300.0
0b2d2b91-96f3-4135-bc9e-d8efb4287c65,4.3366836,50.8010137,1180.0
b3bd983d-3188-44db-b9a7-595e3641c073,4.46916,51.22688,2100.0
f61ed952-3558-4046-b78c-65a821e52ba1,4.69457320868969,50.88070229262866,3000.0
5d3f801c-af7a-45a0-8fea-071517040f30,3.26458,50.82559,8500.0
33912013-9ba6-4af6-943c-59d7777d8392,3.71877,51.0563252,9000.0
843cb73b-5b8c-51cd-9e6a-064c2e6c17b6,4.70891,50.88113,3000.0
73f44ae8-ec50-46ea-8816-735658f6ed23,4.4051882,51.2186435,2000.0
9d9cae01-1ed2-4e4f-83a4-530b4a5514e9,4.69953,50.88097,3000.0
d25f81c3-4644-415d-a393-57062cfdc816,3.21784,51.19759,8200.0
e11d8a22-d861-4a2b-a42b-70bb79b2f5a0,4.4126673,51.2265504,2000.0
e30e5f90-de04-4597-bf34-4f8fb7fc04ff,4.3265642,50.8770595,1090.0
00dd2597-233c-469d-af89-edd9ae4889f5,4.39804,50.7189,1410.0
da63b8ae-57d0-59d7-ad70-712f0b991811,4.3849,50.84443,1000.0
1c85644e-b0e3-4fe7-a035-c002911dab7e,5.50358,50.96524,3600.0
49864123-1ec3-4a55-9786-f96e12b9bbba,4.337005,50.80105,1180.0
bf9c8e29-36d4-5de7-a322-412117ac3521,3.26444,50.82596,8500.0
4fbd108c-a1fc-4b5e-8967-5d17237c1b5f,4.4132442,51.22169,2000.0
fd28c406-8637-4882-a1b9-9abfce99bb51,4.3874499,51.1862568,2020.0
52ea5d10-e04a-4596-81b4-a40afc683735,3.726869,51.04643,9000.0
eef56143-b189-42ff-9f01-ed92ff159ed4,4.42432,51.19741,2600.0
7b852229-fc05-4206-906b-885c87962114,4.43267,51.20124,2600.0
1daab62e-2232-5e25-9980-28cabca67114,4.41124,51.19603,2600.0
c97a716c-1189-4040-b8af-1cef8a68122d,4.427152,51.20205,2018.0
17478ff5-ba5d-5166-ba01-48d1f97cb588,4.70754,50.87608,3000.0
3ba64612-cf4d-487a-9dc0-0ff2b6fb3e7d,4.403765289,51.21825607,2000.0
b4d1e4e7-7c3e-427b-8b8b-f9f854fd7790,4.1393,51.16387,9100.0
433ecbc4-ad60-4185-abda-58e0212c5dc8,3.22266,51.22283,8000.0
2e8f870b-e04d-5702-a713-4e0cf71f8bf3,4.334189386529711,50.85745863250228,1080.0
cd19390e-66eb-445c-ab3c-6225b12ab051,4.40886,51.21491,2000.0
9da79226-0d05-41c3-bdea-1acdf8e025b2,3.725531,51.05322,9000.0
3dab6164-67d9-43e7-ae01-a6c00cbd78f6,4.4576878,51.2203728,2100.0
9ad50c87-ac62-546a-ac1c-926a36a6cc12,4.41896,51.21787,2018.0
26443601-9141-4a08-84e0-6790d3f05913,4.47458,51.02265,2800.0
03d67db6-0d8c-4866-8f22-8286d04912a6,4.39829,50.71722,1410.0
16ff4de0-4498-4e05-bc8f-4c0c0af34963,4.7181333,50.8845593,3010.0
387510d2-291b-4793-862e-06b9726514e3,4.69856,50.87797,3000.0
5efc1377-ca77-5606-8902-b5af2ee049c7,4.41043,51.23014,2000.0
b095c1e2-d0fd-5979-8b55-9f18ceab2927,4.37996,51.18319,2610.0
18cf998c-7cad-4b51-af7c-08b2997c6ffe,4.45481,51.2274,2100.0
f590dafd-6185-4548-9149-8f13ecfa90f2,3.228,51.22347,8000.0
54192db8-1a84-4031-ba75-ff0bca8216ef,4.70887,50.88093,3000.0
f6a742bd-e31e-4d08-b6e8-01a6293659e3,4.40112,51.2193736,2000.0
5e56f5d0-ff5d-5645-9014-a9fd465cd2a9,4.03187,50.938,9300.0
f413f637-51bc-4967-a4b4-008f0373f594,4.3604039,50.899571,1020.0
ddfca739-9805-44fe-8de5-416bffa26551,3.7322255,51.0497458,9000.0
8b768e4d-fbe9-4e13-8d08-8670be44fa43,2.90917,51.22548,8400.0
de3e5adc-1495-434d-bb34-6e50605553e4,4.4195087,51.21745,2000.0
f620581f-b970-466c-923d-e5b54e2bdffd,4.70117,50.8783989,3000.0
e98f0fd8-44d5-5803-9825-36103589db9c,4.94021,51.32186,2300.0
b65d4db8-89f2-5118-87ba-935b0037d6c4,4.40365,50.91106,1120.0
ec9a011a-e5b1-4740-a2b7-d279d97594a1,3.22522,51.20264,8000.0
67a2e620-d8cf-4ebd-a2db-84486798e168,2.9101128,51.2301922,8400.0
69c7b94a-a697-42d9-96ae-337363824aa4,4.70364,50.87728,3000.0
0c3fdf98-891f-4467-b692-c138c550ca9b,3.73395,51.04874,9000.0
1d7e3de7-18a1-59a5-a350-873e943e80f8,4.3849,50.84443,1000.0
